id,firstname,lastname,image_path,dateofbirth,gender,continent_id,continent_name,country_id,country_name,country_image_path
2,Ahmed,Shehzad,https://cdn.sportmonks.com/images/cricket/players/2/2.png,23-11-1991,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
3,Anwar,Ali,https://cdn.sportmonks.com/images/cricket/players/3/3.png,25-11-1987,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
4,Sarfraz,Ahmed,https://cdn.sportmonks.com/images/cricket/players/4/4.png,22-05-1987,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
5,Azhar,Ali,https://cdn.sportmonks.com/images/cricket/players/5/5.png,19-02-1985,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
6,Fakhar,Zaman,https://cdn.sportmonks.com/images/cricket/players/6/6.png,10-04-1990,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
7,Imam,ul Haq,https://cdn.sportmonks.com/images/cricket/players/7/7.png,12-12-1995,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
8,Babar,Azam,https://cdn.sportmonks.com/images/cricket/players/8/8.png,15-10-1994,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
9,Asad,Shafiq,https://cdn.sportmonks.com/images/cricket/players/9/9.png,28-01-1986,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
10,Haris,Sohail,https://cdn.sportmonks.com/images/cricket/players/10/10.png,09-01-1989,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
11,Usman,Salahuddin,https://cdn.sportmonks.com/images/cricket/players/11/11.png,02-12-1990,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
12,Yasir,Shah,https://cdn.sportmonks.com/images/cricket/players/12/12.png,02-05-1986,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
13,Shadab,Khan,https://cdn.sportmonks.com/images/cricket/players/13/13.png,04-10-1998,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
14,Bilal,Asif,https://cdn.sportmonks.com/images/cricket/players/14/14.png,24-09-1985,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
15,Mohammad,Abbas,https://cdn.sportmonks.com/images/cricket/players/15/15.png,10-03-1990,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
16,Hasan,Ali,https://cdn.sportmonks.com/images/cricket/players/16/16.png,02-07-1994,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
17,Wahab,Riaz,https://cdn.sportmonks.com/images/cricket/players/17/17.png,28-06-1985,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
18,Faheem,Ashraf,https://cdn.sportmonks.com/images/cricket/players/18/18.png,16-01-1994,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
19,Mir,Hamza,https://cdn.sportmonks.com/images/cricket/players/19/19.png,10-09-1992,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
20,Mohammad,Rizwan,https://cdn.sportmonks.com/images/cricket/players/20/20.png,01-01-1992,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
21,Mohammad,Hafeez,https://cdn.sportmonks.com/images/cricket/players/21/21.png,17-10-1980,m,2,Asia,52126,Pakistan,https://cdn.sportmonks.com/images/countries/png/short/pk.png
22,Tim,Paine,https://cdn.sportmonks.com/images/cricket/players/22/22.png,08-12-1984,m,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
23,Ashton,Agar,https://cdn.sportmonks.com/images/cricket/players/23/23.png,14-10-1993,m,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
24,Brendan,Doggett,https://cdn.sportmonks.com/images/cricket/players/24/24.png,03-05-1994,m,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
25,Aaron,Finch,https://cdn.sportmonks.com/images/cricket/players/25/25.png,17-11-1986,m,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
26,Travis,Head,https://cdn.sportmonks.com/images/cricket/players/26/26.png,29-12-1993,m,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
27,Jon,Holland,https://cdn.sportmonks.com/images/cricket/players/27/27.png,29-05-1987,m,4,Oceania,98,Australia,https://cdn.sportmonks.com/images/countries/png/short/au.png
