match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Australia Vs India,Australia,1,David Warner,25,14,1,2,178.57,out,T20I # 217
Australia Vs India,Australia,2,Matthew Wade,72,43,5,3,167.44,out,T20I # 217
Australia Vs India,Australia,3,Travis Birt,17,21,1,1,80.95,out,T20I # 217
Australia Vs India,Australia,4,David Hussey,42,30,1,3,140.00,out,T20I # 217
Australia Vs India,Australia,5,George Bailey,12,11,1,0,109.09,not_out,T20I # 217
Australia Vs India,Australia,6,Mitchell Marsh,0,1,0,0,0.00,not_out,T20I # 217
Australia Vs India,India,1,Gautam Gambhir,20,14,3,0,142.85,out,T20I # 217
Australia Vs India,India,2,Virender Sehwag,4,3,1,0,133.33,out,T20I # 217
Australia Vs India,India,3,Virat Kohli,22,21,0,1,104.76,out,T20I # 217
Australia Vs India,India,4,Suresh Raina,14,15,1,0,93.33,out,T20I # 217
Australia Vs India,India,5,Rohit Sharma,0,1,0,0,0.00,out,T20I # 217
Australia Vs India,India,6,MS Dhoni,48,43,1,3,111.62,not_out,T20I # 217
Australia Vs India,India,7,Ravindra Jadeja,7,8,1,0,87.50,out,T20I # 217
Australia Vs India,India,8,Ravichandran Ashwin,15,16,1,0,93.75,not_out,T20I # 217
Australia Vs India,Australia,1,David Warner,8,8,1,0,100.00,out,T20I # 218
Australia Vs India,Australia,2,Aaron Finch,36,23,6,0,156.52,out,T20I # 218
Australia Vs India,Australia,3,Shaun Marsh,0,2,0,0,0.00,out,T20I # 218
Australia Vs India,Australia,4,David Hussey,24,29,1,1,82.75,out,T20I # 218
Australia Vs India,Australia,5,George Bailey,3,4,0,0,75.00,out,T20I # 218
Australia Vs India,Australia,6,Matthew Wade,32,29,1,1,110.34,out,T20I # 218
Australia Vs India,Australia,7,Mitchell Marsh,13,13,2,0,100.00,out,T20I # 218
Australia Vs India,Australia,8,Brett Lee,6,4,1,0,150.00,not_out,T20I # 218
Australia Vs India,Australia,9,Clint McKay,0,1,0,0,0.00,out,T20I # 218
