Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id
Australia,India,Australia,31 runs,Sydney,"Feb 1, 2012",T20I # 217
Australia,India,India,8 wickets,Melbourne,"Feb 3, 2012",T20I # 218
New Zealand,Zimbabwe,New Zealand,7 wickets,Auckland,"Feb 11, 2012",T20I # 219
New Zealand,Zimbabwe,New Zealand,5 wickets,Hamilton,"Feb 14, 2012",T20I # 220
New Zealand,South Africa,New Zealand,6 wickets,Wellington,"Feb 17, 2012",T20I # 221
New Zealand,South Africa,South Africa,8 wickets,Hamilton,"Feb 19, 2012",T20I # 222
New Zealand,South Africa,South Africa,3 runs,Auckland,"Feb 22, 2012",T20I # 223
Kenya,Ireland,Ireland,6 wickets,Mombasa,"Feb 22, 2012",T20I # 224
Kenya,Ireland,Ireland,8 wickets,Mombasa,"Feb 23, 2012",T20I # 225
England,Pakistan,Pakistan,8 runs,Dubai (DSC),"Feb 23, 2012",T20I # 226
Kenya,Ireland,Ireland,2 runs,Mombasa,"Feb 24, 2012",T20I # 227
England,Pakistan,England,38 runs,Dubai (DSC),"Feb 25, 2012",T20I # 228
England,Pakistan,England,5 runs,Abu Dhabi,"Feb 27, 2012",T20I # 229
Canada,Netherlands,Netherlands,42 runs,Dubai (DSC),"Mar 13, 2012",T20I # 230
Kenya,Scotland,Scotland,14 runs,ICCA Dubai,"Mar 13, 2012",T20I # 231
Ireland,Kenya,Ireland,10 wickets,Dubai (DSC),"Mar 14, 2012",T20I # 232
Afghanistan,Netherlands,Afghanistan,4 wickets,Dubai (DSC),"Mar 14, 2012",T20I # 233
Afghanistan,Canada,Afghanistan,41 runs,ICCA Dubai,"Mar 18, 2012",T20I # 234
Ireland,Scotland,Ireland,17 runs,Dubai (DSC),"Mar 18, 2012",T20I # 235
Canada,Ireland,Ireland,10 wickets,Dubai (DSC),"Mar 22, 2012",T20I # 236
Netherlands,Scotland,Netherlands,3 wickets,ICCA Dubai,"Mar 22, 2012",T20I # 237
Ireland,Netherlands,Ireland,7 wickets,Dubai (DSC),"Mar 23, 2012",T20I # 238
Canada,Scotland,Scotland,4 wickets,Dubai (DSC),"Mar 23, 2012",T20I # 239
Afghanistan,Ireland,Ireland,5 wickets,Dubai (DSC),"Mar 24, 2012",T20I # 240
West Indies,Australia,Australia,8 wickets,Gros Islet,"Mar 27, 2012",T20I # 241
South Africa,India,South Africa,11 runs,Johannesburg,"Mar 30, 2012",T20I # 242
West Indies,Australia,West Indies,14 runs,Bridgetown,"Mar 30, 2012",T20I # 243
Sri Lanka,Pakistan,Sri Lanka,37 runs,Hambantota,"Jun 1, 2012",T20I # 244
Sri Lanka,Pakistan,Pakistan,23 runs,Hambantota,"Jun 3, 2012",T20I # 245
England,West Indies,England,7 wickets,Nottingham,"Jun 24, 2012",T20I # 246
New Zealand,West Indies,West Indies,56 runs,Lauderhill,"Jun 30, 2012",T20I # 247
New Zealand,West Indies,West Indies,61 runs,Lauderhill,"Jul 1, 2012",T20I # 248
Ireland,Bangladesh,Bangladesh,71 runs,Belfast,"Jul 18, 2012",T20I # 249
Ireland,Bangladesh,Bangladesh,1 runs,Belfast,"Jul 20, 2012",T20I # 250
Ireland,Bangladesh,Bangladesh,2 wickets,Belfast,"Jul 21, 2012",T20I # 251
Bangladesh,Scotland,Scotland,34 runs,The Hague,"Jul 24, 2012",T20I # 252
Netherlands,Bangladesh,Bangladesh,8 wickets,The Hague,"Jul 25, 2012",T20I # 253
Netherlands,Bangladesh,Netherlands,1 wickets,The Hague,"Jul 26, 2012",T20I # 254
Sri Lanka,India,India,39 runs,Pallekele,"Aug 7, 2012",T20I # 255
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),"Sep 5, 2012",T20I # 256
