match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Bangladesh Vs New Zealand,New Zealand,Ben Wheeler,4,0,22,2,5.50,14,2,0,4,0,T20I # 574
Bangladesh Vs New Zealand,New Zealand,Matt Henry,4,0,44,1,11.00,8,3,3,3,0,T20I # 574
Bangladesh Vs New Zealand,New Zealand,Lockie Ferguson,4,0,32,3,8.00,11,1,1,4,0,T20I # 574
Bangladesh Vs New Zealand,New Zealand,Colin de Grandhomme,4,0,23,1,5.75,9,0,1,2,0,T20I # 574
Bangladesh Vs New Zealand,New Zealand,Mitchell Santner,4,0,20,1,5.00,11,0,1,1,0,T20I # 574
Bangladesh Vs New Zealand,Bangladesh,Shakib Al Hasan,4,0,30,1,7.50,7,2,1,0,0,T20I # 574
Bangladesh Vs New Zealand,Bangladesh,Mashrafe Mortaza,3,0,22,0,7.33,5,1,1,0,0,T20I # 574
Bangladesh Vs New Zealand,Bangladesh,Rubel Hossain,4,0,43,1,10.75,6,4,2,0,1,T20I # 574
Bangladesh Vs New Zealand,Bangladesh,Mustafizur Rahman,4,0,21,1,5.25,9,1,0,1,0,T20I # 574
Bangladesh Vs New Zealand,Bangladesh,Mosaddek Hossain,2,0,9,0,4.50,5,0,0,0,0,T20I # 574
Bangladesh Vs New Zealand,Bangladesh,Soumya Sarkar,1,0,17,0,17.00,0,2,1,0,0,T20I # 574
New Zealand Vs Bangladesh,Bangladesh,Mashrafe Mortaza,4,0,38,1,9.50,7,4,1,0,0,T20I # 575
New Zealand Vs Bangladesh,Bangladesh,Rubel Hossain,4,0,37,3,9.25,7,3,1,0,0,T20I # 575
New Zealand Vs Bangladesh,Bangladesh,Mustafizur Rahman,4,0,30,0,7.50,6,3,0,1,1,T20I # 575
New Zealand Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,32,1,8.00,9,2,1,2,0,T20I # 575
New Zealand Vs Bangladesh,Bangladesh,Mosaddek Hossain,2,0,22,1,11.00,3,1,2,0,0,T20I # 575
New Zealand Vs Bangladesh,Bangladesh,Mahmudullah,2,0,32,0,16.00,2,2,3,0,0,T20I # 575
New Zealand Vs Bangladesh,New Zealand,Mitchell Santner,3,0,14,1,4.66,7,0,0,1,0,T20I # 575
New Zealand Vs Bangladesh,New Zealand,Trent Boult,3,0,28,1,9.33,8,5,0,1,0,T20I # 575
New Zealand Vs Bangladesh,New Zealand,Ben Wheeler,2.1,0,16,2,7.38,7,1,0,2,0,T20I # 575
New Zealand Vs Bangladesh,New Zealand,Colin de Grandhomme,2,0,33,0,16.50,2,1,3,1,0,T20I # 575
New Zealand Vs Bangladesh,New Zealand,Ish Sodhi,4,0,36,3,9.00,8,0,3,3,0,T20I # 575
New Zealand Vs Bangladesh,New Zealand,Kane Williamson,4,0,16,2,4.00,12,1,0,0,0,T20I # 575
New Zealand Vs Bangladesh,Bangladesh,Mashrafe Mortaza,3.2,0,42,0,12.60,4,3,3,0,0,T20I # 576
New Zealand Vs Bangladesh,Bangladesh,Taskin Ahmed,4,0,37,0,9.25,11,2,3,2,0,T20I # 576
New Zealand Vs Bangladesh,Bangladesh,Rubel Hossain,4,0,31,3,7.75,10,3,1,0,0,T20I # 576
New Zealand Vs Bangladesh,Bangladesh,Shakib Al Hasan,4,0,22,0,5.50,10,2,0,0,0,T20I # 576
New Zealand Vs Bangladesh,Bangladesh,Mosaddek Hossain,3.4,0,27,1,7.36,7,2,1,0,0,T20I # 576
New Zealand Vs Bangladesh,Bangladesh,Soumya Sarkar,1,0,21,0,21.00,1,0,3,0,0,T20I # 576
New Zealand Vs Bangladesh,New Zealand,Mitchell Santner,4,0,37,1,9.25,6,5,0,2,0,T20I # 576
New Zealand Vs Bangladesh,New Zealand,Ben Wheeler,4,0,29,0,7.25,9,4,0,0,0,T20I # 576
New Zealand Vs Bangladesh,New Zealand,Trent Boult,4,0,48,2,12.00,5,8,1,0,0,T20I # 576
New Zealand Vs Bangladesh,New Zealand,James Neesham,1,0,17,0,17.00,0,3,0,0,0,T20I # 576
New Zealand Vs Bangladesh,New Zealand,Ish Sodhi,4,0,22,2,5.50,9,1,0,1,0,T20I # 576
New Zealand Vs Bangladesh,New Zealand,Colin de Grandhomme,1,0,4,0,4.00,2,0,0,0,0,T20I # 576
New Zealand Vs Bangladesh,New Zealand,Kane Williamson,2,0,9,1,4.50,3,0,0,0,0,T20I # 576
Scotland Vs Hong Kong,Hong Kong,Nadeem Ahmed,0,2.4,0,0,23,8.62,0,0,4,0,T20I # 577
Scotland Vs Hong Kong,Hong Kong,Ehsan Nawaz,43,10.75,1,1,0,4,0,26,6.50,1,T20I # 577
Scotland Vs Hong Kong,Hong Kong,Tanveer Ahmed,0,1,0,0,13,13.00,0,0,3.2,0,T20I # 577
Scotland Vs Hong Kong,Hong Kong,Ehsan Khan,26,7.80,2,2,0,1,0,10,10.00,0,T20I # 577
Scotland Vs Hong Kong,Hong Kong,Anshy Rath,0,22,22,0,2,1,100.00,0,0,0,T20I # 577
Scotland Vs Hong Kong,Hong Kong,Aizaz Khan,0,-,10,0,10,2,0,100.00,29,25,T20I # 577
Scotland Vs Hong Kong,Hong Kong,Waqas Barkat,2,0,116.00,0,3,9,0,0,33.33,40,T20I # 577
Ireland Vs Afghanistan,Afghanistan,Fareed Ahmad,28,7.00,0,0,0,4,0,21,5.25,0,T20I # 578
Ireland Vs Afghanistan,Afghanistan,Dawlat Zadran,0,4,0,0,27,6.75,0,0,4,0,T20I # 578
Ireland Vs Afghanistan,Afghanistan,Amir Hamza,22,5.50,1,2,0,29,27,5,0,107.40,T20I # 578
Ireland Vs Afghanistan,Afghanistan,Mohammad Nabi,31,27,2,2,1,114.81,6,8,0,0,T20I # 578
Ireland Vs Afghanistan,Afghanistan,Rashid Khan,75.00,13,15,2,2,0,86.66,26,17,1,T20I # 578
