match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
Australia Vs New Zealand,Australia,1,Adam Gilchrist,1.0,3,0,0,33.33,out,T20I # 1
Australia Vs New Zealand,Australia,2,Michael Clarke,7.0,4,0,1,175.00,out,T20I # 1
Australia Vs New Zealand,Australia,3,Andrew Symonds,32.0,13,4,2,246.15,out,T20I # 1
Australia Vs New Zealand,Australia,4,Ricky Ponting,98.0,55,8,5,178.18,not_out,T20I # 1
Australia Vs New Zealand,Australia,5,Damien Martyn,3.0,5,0,0,60.00,out,T20I # 1
Australia Vs New Zealand,Australia,6,Simon Katich,30.0,25,2,1,120.00,out,T20I # 1
Australia Vs New Zealand,Australia,7,Michael Hussey,31.0,15,1,3,206.66,not_out,T20I # 1
Australia Vs New Zealand,New Zealand,1,Brendon McCullum,36.0,24,5,1,150.00,out,T20I # 1
Australia Vs New Zealand,New Zealand,2,Stephen Fleming,18.0,13,3,0,138.46,out,T20I # 1
Australia Vs New Zealand,New Zealand,3,Mathew Sinclair,0.0,1,0,0,0.00,out,T20I # 1
Australia Vs New Zealand,New Zealand,4,Scott Styris,66.0,39,5,3,169.23,out,T20I # 1
Australia Vs New Zealand,New Zealand,5,Craig McMillan,9.0,8,0,1,112.50,out,T20I # 1
Australia Vs New Zealand,New Zealand,6,Chris Cairns,1.0,4,0,0,25.00,out,T20I # 1
Australia Vs New Zealand,New Zealand,7,Hamish Marshall,8.0,7,0,0,114.28,out,T20I # 1
Australia Vs New Zealand,New Zealand,8,Andre Adams,7.0,7,1,0,100.00,out,T20I # 1
Australia Vs New Zealand,New Zealand,9,Jeff Wilson,18.0,14,2,0,128.57,out,T20I # 1
Australia Vs New Zealand,New Zealand,10,Kyle Mills,0.0,1,0,0,0.00,out,T20I # 1
Australia Vs New Zealand,New Zealand,11,Daryl Tuffey,5.0,2,1,0,250.00,not_out,T20I # 1
England Vs Australia,England,1,Marcus Trescothick,41.0,37,5,0,110.81,out,T20I # 2
England Vs Australia,England,2,Geraint Jones,19.0,14,4,0,135.71,out,T20I # 2
England Vs Australia,England,3,Andrew Flintoff,6.0,5,0,0,120.00,out,T20I # 2
England Vs Australia,England,4,Kevin Pietersen,34.0,18,3,1,188.88,out,T20I # 2
England Vs Australia,England,5,Michael Vaughan,0.0,1,0,0,0.00,out,T20I # 2
England Vs Australia,England,6,Paul Collingwood,46.0,26,5,2,176.92,out,T20I # 2
England Vs Australia,England,7,Andrew Strauss,18.0,16,1,0,112.50,out,T20I # 2
