match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Australia Vs New Zealand,New Zealand,Daryl Tuffey,4.0,0.0,50.0,1.0,12.5,9.0,2.0,5.0,1.0,0.0,T20I # 1
Australia Vs New Zealand,New Zealand,Kyle Mills,4.0,0.0,44.0,3.0,11.0,7.0,5.0,2.0,2.0,0.0,T20I # 1
Australia Vs New Zealand,New Zealand,Chris Cairns,4.0,0.0,28.0,1.0,7.0,4.0,2.0,0.0,0.0,0.0,T20I # 1
Australia Vs New Zealand,New Zealand,Jeff Wilson,4.0,0.0,43.0,0.0,10.75,6.0,4.0,2.0,0.0,0.0,T20I # 1
Australia Vs New Zealand,New Zealand,Andre Adams,4.0,0.0,40.0,0.0,10.0,6.0,2.0,3.0,0.0,0.0,T20I # 1
Australia Vs New Zealand,Australia,Brett Lee,4.0,0.0,26.0,1.0,6.5,13.0,4.0,0.0,1.0,0.0,T20I # 1
Australia Vs New Zealand,Australia,Glenn McGrath,4.0,0.0,48.0,2.0,12.0,5.0,5.0,2.0,0.0,0.0,T20I # 1
Australia Vs New Zealand,Australia,Michael Kasprowicz,4.0,0.0,29.0,4.0,7.25,10.0,2.0,1.0,1.0,0.0,T20I # 1
Australia Vs New Zealand,Australia,James Hopes,3.0,0.0,23.0,1.0,7.66,6.0,1.0,1.0,0.0,0.0,T20I # 1
Australia Vs New Zealand,Australia,Andrew Symonds,3.0,0.0,33.0,1.0,11.0,4.0,4.0,1.0,0.0,0.0,T20I # 1
Australia Vs New Zealand,Australia,Michael Clarke,2.0,0.0,11.0,0.0,5.5,4.0,1.0,0.0,0.0,0.0,T20I # 1
England Vs Australia,Australia,Brett Lee,3.0,0.0,31.0,0.0,10.33,6.0,4.0,0.0,1.0,2.0,T20I # 2
England Vs Australia,Australia,Glenn McGrath,4.0,0.0,31.0,3.0,7.75,10.0,4.0,0.0,1.0,0.0,T20I # 2
England Vs Australia,Australia,Michael Kasprowicz,3.0,0.0,28.0,1.0,9.33,2.0,3.0,0.0,0.0,0.0,T20I # 2
England Vs Australia,Australia,Jason Gillespie,4.0,0.0,49.0,1.0,12.25,5.0,6.0,2.0,1.0,0.0,T20I # 2
England Vs Australia,Australia,Michael Clarke,3.0,0.0,25.0,1.0,8.33,4.0,1.0,1.0,0.0,0.0,T20I # 2
England Vs Australia,Australia,Andrew Symonds,3.0,0.0,14.0,2.0,4.66,7.0,1.0,0.0,0.0,0.0,T20I # 2
England Vs Australia,England,Darren Gough,3.0,0.0,16.0,3.0,5.33,13.0,3.0,0.0,0.0,1.0,T20I # 2
England Vs Australia,England,Jon Lewis,4.0,0.0,24.0,4.0,6.0,14.0,3.0,0.0,0.0,0.0,T20I # 2
England Vs Australia,England,Steve Harmison,2.3,0.0,13.0,1.0,5.2,9.0,2.0,0.0,0.0,1.0,T20I # 2
England Vs Australia,England,Andrew Flintoff,3.0,0.0,15.0,0.0,5.0,10.0,2.0,0.0,1.0,0.0,T20I # 2
England Vs Australia,England,Paul Collingwood,2.0,0.0,8.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,T20I # 2
South Africa Vs New Zealand,New Zealand,Shane Bond,3.3,0.0,25.0,2.0,7.14,0.0,0.0,4.0,0.0,38.0,T20I # 3
South Africa Vs New Zealand,New Zealand,Kyle Mills,9.5,1.0,1.0,0.0,4.0,0.0,27.0,6.75,0.0,0.0,T20I # 3
South Africa Vs New Zealand,New Zealand,Andre Adams,4.0,0.0,20.0,1.0,5.0,0.0,0.0,4.0,0.0,20.0,T20I # 3
South Africa Vs New Zealand,New Zealand,Nathan Astle,5.0,0.0,1.0,3.0,31.0,25.0,30.0,6.0,0.0,124.0,T20I # 3
South Africa Vs New Zealand,New Zealand,Jeetan Patel,10.0,10.0,23.0,3.0,1.0,0.0,100.0,3.0,3.0,4.0,T20I # 3
South Africa Vs New Zealand,South Africa,Shaun Pollock,4.75,0.0,0.0,0.0,2.0,0.0,14.0,7.0,2.0,0.0,T20I # 3
