match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
India Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,0,47,0,11.75,9,5,3,1,0,T20I # 1984
India Vs Sri Lanka,Sri Lanka,Dilshan Madushanka,4,0,35,1,8.75,12,4,1,2,0,T20I # 1984
India Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,29,1,7.25,6,0,2,0,0,T20I # 1984
India Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,3,0,22,1,7.33,7,3,0,1,0,T20I # 1984
India Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,6,1,6.00,2,0,0,0,0,T20I # 1984
India Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,22,1,5.50,10,1,1,0,0,T20I # 1984
India Vs Sri Lanka,India,Hardik Pandya,3,0,12,0,4.00,13,2,0,1,0,T20I # 1984
India Vs Sri Lanka,India,Shivam Mavi,4,0,22,4,5.50,14,4,0,0,0,T20I # 1984
India Vs Sri Lanka,India,Umran Malik,4,0,27,2,6.75,12,3,1,1,0,T20I # 1984
India Vs Sri Lanka,India,Yuzvendra Chahal,2,0,26,0,13.00,2,0,3,0,0,T20I # 1984
India Vs Sri Lanka,India,Harshal Patel,4,0,41,2,10.25,9,3,2,1,1,T20I # 1984
India Vs Sri Lanka,India,Axar Patel,3,0,31,0,10.33,3,1,2,1,0,T20I # 1984
Sri Lanka Vs India,India,Hardik Pandya,2,0,13,0,6.50,7,0,1,1,0,T20I # 1985
Sri Lanka Vs India,India,Arshdeep Singh,2,0,37,0,18.50,4,3,2,0,5,T20I # 1985
Sri Lanka Vs India,India,Shivam Mavi,4,0,53,0,13.25,6,3,4,2,1,T20I # 1985
Sri Lanka Vs India,India,Axar Patel,4,0,24,2,6.00,9,1,1,0,0,T20I # 1985
Sri Lanka Vs India,India,Yuzvendra Chahal,4,0,30,1,7.50,5,0,2,0,0,T20I # 1985
Sri Lanka Vs India,India,Umran Malik,4,0,48,3,12.00,8,3,4,1,1,T20I # 1985
Sri Lanka Vs India,Sri Lanka,Dilshan Madushanka,4,0,45,2,11.25,10,3,3,3,0,T20I # 1985
Sri Lanka Vs India,Sri Lanka,Kasun Rajitha,4,0,22,2,5.50,13,2,0,2,0,T20I # 1985
Sri Lanka Vs India,Sri Lanka,Chamika Karunaratne,4,0,41,1,10.25,8,3,3,0,0,T20I # 1985
Sri Lanka Vs India,Sri Lanka,Wanindu Hasaranga,3,0,41,1,13.66,5,0,5,1,0,T20I # 1985
Sri Lanka Vs India,Sri Lanka,Maheesh Theekshana,4,0,33,0,8.25,7,3,1,0,0,T20I # 1985
Sri Lanka Vs India,Sri Lanka,Dasun Shanaka,1,0,4,2,4.00,3,0,0,0,0,T20I # 1985
India Vs Sri Lanka,Sri Lanka,Dilshan Madushanka,4,0,55,2,13.75,8,6,4,1,0,T20I # 1986
India Vs Sri Lanka,Sri Lanka,Kasun Rajitha,4,1,35,1,8.75,9,4,1,1,0,T20I # 1986
India Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,48,0,12.00,4,5,2,0,0,T20I # 1986
India Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,4,0,52,1,13.00,7,3,5,1,0,T20I # 1986
India Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,36,1,9.00,5,1,2,0,0,T20I # 1986
India Vs Sri Lanka,India,Hardik Pandya,4,0,30,2,7.50,13,2,2,2,0,T20I # 1986
India Vs Sri Lanka,India,Arshdeep Singh,2.4,0,20,3,7.50,9,3,0,4,0,T20I # 1986
India Vs Sri Lanka,India,Shivam Mavi,1,0,6,0,6.00,3,1,0,0,0,T20I # 1986
India Vs Sri Lanka,India,Axar Patel,3,0,19,1,6.33,8,1,1,1,0,T20I # 1986
India Vs Sri Lanka,India,Umran Malik,3,0,31,2,10.33,7,5,0,3,1,T20I # 1986
India Vs Sri Lanka,India,Yuzvendra Chahal,3,0,30,2,10.00,6,0,3,1,0,T20I # 1986
Ireland Vs Zimbabwe,Zimbabwe,Tendai Chatara,3.2,0,17,2,5.10,12,2,0,0,0,T20I # 1987
Ireland Vs Zimbabwe,Zimbabwe,Richard Ngarava,3,0,20,2,6.66,9,3,0,0,0,T20I # 1987
Ireland Vs Zimbabwe,Zimbabwe,Brad Evans,2,0,9,1,4.50,7,1,0,0,0,T20I # 1987
Ireland Vs Zimbabwe,Zimbabwe,Ryan Burl,4,0,29,3,7.25,12,3,1,0,0,T20I # 1987
Ireland Vs Zimbabwe,Zimbabwe,Sean Williams,3,0,23,0,7.66,4,2,0,0,0,T20I # 1987
Ireland Vs Zimbabwe,Zimbabwe,Wellington Masakadza,4,0,13,2,3.25,15,1,0,0,0,T20I # 1987
Ireland Vs Zimbabwe,Ireland,Harry Tector,4,0,17,2,4.25,14,2,0,0,0,T20I # 1987
Ireland Vs Zimbabwe,Ireland,Mark Adair,3,0,12,2,4.00,13,2,0,1,0,T20I # 1987
Ireland Vs Zimbabwe,Ireland,Gareth Delany,4,0,34,0,8.50,8,5,0,1,0,T20I # 1987
Ireland Vs Zimbabwe,Ireland,Barry McCarthy,2,0,14,1,7.00,6,0,1,1,0,T20I # 1987
Ireland Vs Zimbabwe,Ireland,George Dockrell,2,0,17,0,8.50,1,1,0,0,0,T20I # 1987
Ireland Vs Zimbabwe,Ireland,Curtis Campher,2,0,18,0,9.00,4,2,0,1,0,T20I # 1987
Ireland Vs Zimbabwe,Ireland,Fionn Hand,1,0,6,0,6.00,1,0,0,0,0,T20I # 1987
Zimbabwe Vs Ireland,Ireland,Harry Tector,4,0,22,2,5.50,11,1,0,1,0,T20I # 1988
Zimbabwe Vs Ireland,Ireland,Mark Adair,3,0,29,1,9.66,8,4,1,0,0,T20I # 1988
Zimbabwe Vs Ireland,Ireland,Graham Hume,4,0,17,3,4.25,11,0,0,1,0,T20I # 1988
Zimbabwe Vs Ireland,Ireland,Fionn Hand,2,0,22,0,11.00,2,2,1,1,0,T20I # 1988
Zimbabwe Vs Ireland,Ireland,Curtis Campher,2,0,14,0,7.00,4,1,0,1,0,T20I # 1988
Zimbabwe Vs Ireland,Ireland,Gareth Delany,4,0,27,1,6.75,9,2,0,1,0,T20I # 1988
Zimbabwe Vs Ireland,Ireland,George Dockrell,1,0,5,0,5.00,1,0,0,0,0,T20I # 1988
Zimbabwe Vs Ireland,Zimbabwe,Tendai Chatara,4,0,26,1,6.50,12,3,0,0,0,T20I # 1988
Zimbabwe Vs Ireland,Zimbabwe,Richard Ngarava,4,0,32,1,8.00,10,2,2,2,0,T20I # 1988
Zimbabwe Vs Ireland,Zimbabwe,Brad Evans,3.4,0,38,0,10.36,5,0,3,0,0,T20I # 1988
Zimbabwe Vs Ireland,Zimbabwe,Wellington Masakadza,3,0,18,0,6.00,9,1,1,0,0,T20I # 1988
Zimbabwe Vs Ireland,Zimbabwe,Ryan Burl,4,0,26,2,6.50,10,2,1,0,0,T20I # 1988
Zimbabwe Vs Ireland,Zimbabwe,Sean Williams,1,0,9,0,9.00,0,1,0,0,0,T20I # 1988
Ireland Vs Zimbabwe,Zimbabwe,Wessly Madhevere,2,0,8,2,4.00,4,0,0,0,0,T20I # 1989
Ireland Vs Zimbabwe,Zimbabwe,Richard Ngarava,2,0,14,0,7.00,6,2,0,1,0,T20I # 1989
Ireland Vs Zimbabwe,Zimbabwe,Tendai Chatara,4,0,26,2,6.50,7,1,0,1,0,T20I # 1989
Ireland Vs Zimbabwe,Zimbabwe,Wellington Masakadza,4,0,33,1,8.25,4,2,0,1,0,T20I # 1989
Ireland Vs Zimbabwe,Zimbabwe,Luke Jongwe,3,0,23,2,7.66,5,1,1,0,0,T20I # 1989
